time,total,sunny,rain,on_off_rain,cloudy,thunderstorm,monday,tuesday,wednesday,thursday,friday,saturday,sunday
12:47:00,10,6,0,2,2,0,1,1,2,2,1,2,1
12:48:00,10,6,0,2,2,0,1,1,2,2,1,2,1
12:49:00,10,6,0,2,2,0,1,1,2,2,1,2,1
12:50:00,10,6,0,2,2,0,1,1,2,2,1,2,1
12:51:00,10,6,0,2,2,0,1,1,2,2,1,2,1
12:52:00,10,6,0,2,2,0,1,1,2,2,1,2,1
12:53:00,10,6,0,2,2,0,1,1,2,2,1,2,1
12:54:00,10,6,0,2,2,0,1,1,2,2,1,2,1
12:55:00,10,6,0,2,2,0,1,1,2,2,1,2,1
12:56:00,10,6,0,2,2,0,1,1,2,2,1,2,1
12:57:00,10,6,0,2,2,0,1,1,2,2,1,2,1
12:58:00,10,6,0,2,2,0,1,1,2,2,1,2,1
12:59:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:00:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:01:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:02:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:03:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:04:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:05:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:06:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:07:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:08:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:09:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:10:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:11:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:12:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:13:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:14:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:15:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:16:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:17:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:18:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:19:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:20:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:21:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:22:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:23:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:24:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:25:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:26:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:27:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:28:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:29:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:30:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:31:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:32:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:33:00,10,6,0,2,2,0,1,1,2,2,1,2,1
13:34:00,10,6,0,2,2,0,1,1,2,2,1,2,1
